"PZ","ROG","T3","T4","T5","T6","C3","C4","CZ","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4"
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
0.0466,0.20628,0.10677,0.0466,0.08652,0.13975,0.02661,0.02661,0.01998,0.02661,0.0466,0.1265,0.0466,0.01998,0.20628,0.02661,31.46609,0.10646,0.13975,0.08652,0.05988
0.04665,0.20675,0.10646,0.04675,0.08667,0.14004,0.02669,0.02669,0.02004,0.02669,0.04675,0.12659,0.04675,0.01998,0.20675,0.02669,31.56622,0.10677,0.14004,0.08667,0.06006
0.04675,0.20697,0.10677,0.04665,0.08681,0.14021,0.02669,0.02669,0.01998,0.02669,0.04665,0.12691,0.04665,0.02004,0.20697,0.02669,31.54769,0.10677,0.14021,0.08681,0.06006
